year,movie,actor,dialogue,englishDialogue
1997,Mr. & Mrs. Khiladi,Paresh Rawal,Chori chupe pyar ya toh ghar ke pichwade mein hota hai ya gaadi ke pichwade mein hota hai,Making love in hiding is either done on the back side of a house or on the back side of a car
1997,Mr. & Mrs. Khiladi,Paresh Rawal,Insaan aaise gunaah zindagi mein sirf do hi baar karta hai ... ek ya toh sar pe kisi ka udhaar ho aur doosra jab dil mein kisi ka pyar ho,A person commits such a crime only in two conditions of life ... first if he is in debt to someone and second when he is in love with someone
1997,Mrityudaata,Amitabh Bachchan,"Ek baar ghulami se peecha chhudaya tha hamare buzurgon ne ... toh kya aaj hum phir ghulam ban jayenge? ... chand aaise gaddar netaon ke haathon mein desh ki bhaag-daur ko saunp denge ... jinki gaadiyan bullet-proof, kapde daag-proof, kaan sound-proof aur aankhen sharam-proof? ... bolo, jawaab do!","Our elders had saved us once from slavery ... so today will we become slaves once again? ... will we give the operations of our country into the hands of a few corrupt politicians ... whose cars are bullet-proof, clothes are stain-proof, ears are sound-proof and eyes are shame-proof? ... tell me, answer me!"
1997,Mrityudaata,Amitabh Bachchan,Zabaan kabu mein rahe toh zabaan rehti hai ... bekabu ho jaye toh kataar bankar ki masoom begunah ka seena cheer sakti hai,If a tongue in under control then it's called a tongue ... if it becomes uncontrollable then it turns into a blade and tears the body of infallible innocent people
1997,Mrityudaata,Amitabh Bachchan,"Insaaf bik raha hai, emaan bik raha hai ... bazar sa laga hai, samaan bik raha hai ... is Ram ki dharti par Ravan ka raj hai ... kanoon thak chuka hai, napunsak samaaj hai ... har modh par yahan toh insaan bik raha hai ... bazar sa laga hai, samaan bik raha hai ... noton ke naam par, kahin voton ke naam par ... tirthon ke naam par, kahin dharamon ke naam par ... lag rahi hai boliyan, bhagwan bik raha hai ... bazar sa laga hai, samaan bik raha hai ... manavta lut rahi hai, khamosh hai vidhata ... dharti par badte paapon ko mitaane ... janam kyun nahi leta koi mrityudaata","Justice is being sold, faith is being sold ... a market is setup and goods are being sold ... Ravana rules on this land of Lord Ram ... the law is tired, the society is impotent ... on every corner here a human is being sold ... a market is setup and goods are being sold ... somewhere in the name of money, somewhere in the name of votes ... somewhere in the name of holy places, somewhere in the name of religions ... the prices are being set and god is being sold ... a market is setup and goods are being sold ... humanity is being stolen and god is silent ... to erase the growing sins on earth ... why doesn't some giver of death take birth"
1997,Mrityudaata,Mukesh Rishi,Hamara raaj aur tumhari neeti ... in dono ke gathbandan se hi chalti hai tumhari raajneeti,My rule and your policy ... your politics runs on the union of these two
1997,Mrityudaata,Amitabh Bachchan,Sachai dimaag ka darwaza khat-khatati toh hai magar uski dastak sunai nahi deti,Truth does bang on the door of your mind but you can't hear the sound of it
1997,Mrityudaata,Amitabh Bachchan,Maut ho aaisi jisse sara zamana yaad kare ... yun toh aate hai sabhi is duniya mein marne ke liye,Death should be something that the world remembers ... because everyone comes in this world to die
1997,Mrityudaata,Amitabh Bachchan,Joh log apna pasina bahakar desh ka muqadar banate hai ... unke bachche toh rotiyon ke liye taraste hai ... aur tum log joh kursiyon par behetkar desh ke muqadar ka faisla karte ho ... apne aulad ki shaadiyon mein karodon rupai lutate ho ... kahan se aati hai daulat?,Those who shed their sweat in order to build the destiny of the country ... their children long for food ... and you people who sit on chairs and take the decisions about the destiny of the country ... spend crores of rupees in the weddings of your children ... where does all this money come from?
1997,Mrityudaata,Amitabh Bachchan,"Kauva agar Kashi bhi ho aaye toh bhi ""kav-kav"" hi karega ... ""Ram-Ram"" nahi","Even if a crow visits Varanasi, he will still say ""kav-kav"" only ... he won't say ""Ram-Ram"""
1997,Mrityudaata,Amitabh Bachchan,"Raajneeti ka zehar, dharam, jaati aur basha ka glucose bana karke do kaumon ki ragon mein bhar dete ho ... aur phir apne mahalon mein behet karke janta ki khoon ki holi ka tamesha dekhte ho","You fill the glucose made from the poision of politics, religion, caste and language into the veins of people from two different religions ... and then you sit in your mansions and watch the entertainment of the blood bath of people"
1997,Prithvi,Sunil Shetty,"Mera bas chale toh ek minute mein 60 seconds, ek ghante mein 60 minute aur ek din mein 24 ghante ... bas tumhe dekhta rahoon, tumhe choomta rahoon","If it was in my control then for 60 seconds in one minute, 60 minutes in one hour and 24 hours in one day ... I would just look at you and kiss you"
1997,Prithvi,Sunil Shetty,Jab tak main tujhe maar nahi deta ... maut bhi mujhe maar nahi sakti,Until I kill you ... even death won't be able to kill me
1997,Prithvi,Sunil Shetty,Teri maut tujhse utni hi door hai ... jitni door main tujhse hoon,You death is only that much far from you ... as much far I am from you
1997,Naseeb (1997),Govinda,Pyar hum dono ne kiya ... magar tadapna sirf mere naseeb mein aaya,We both fell in love ... but the suffering only came in my destiny
1997,Naseeb (1997),Govinda,Mohabaat ka dard bada jaan leva hota hai,The pain of love can take one's life
1997,Naseeb (1997),Govinda,Paal le koi rog nadan zindagi ke vaaste ... sirf sehat ke sahare zindagi katti nahi,Build some bad habits for this silly life ... life cannot be completed only with good health
1997,Naseeb (1997),Govinda,Mujh jaise dost baat maar sakte hai ... magar kabhi laat nahi maar sakte,Friends like me can hit you with the words ... but not with the leg
1997,Naseeb (1997),Govinda,Yeh India hai India ... yahan par aurat deewar se toh gir sakti hai ... magar apne mayaan se nahi,This is India ... here a woman can fall from a wall ... but she cannot fall from her limits
1997,Naseeb (1997),Govinda,Mujhko lambi umar ki dua na do ... jitni ghuzri nagawar ghuzri,Don't give me the blessing of a long life ... whatever time I have lived it has been unpleasant
1997,Naseeb (1997),Govinda,Bhare saawan mein reghistaan lagta hai ... yeh ghar mera khali makaan lagta hai,In heavy rain it looks like a desert ... this home of mine looks only like a house
1997,Naseeb (1997),Govinda,Jab maine apne dil mein rehne waalon ke jaane ka afsoos nahin kiya ... toh ghar se jaane waalon ki parvah kya karoonga,When I don't repent for people living in my heart leaving ... then why will I care for people leaving the house
1997,Naseeb (1997),Govinda,"Gham se khali nahi jism ka kona koi ... hum rahe na rahe, hum pe mat rona koi","No corner of my body is without sadness ... whether I live or not, don't cry for me"
1997,Naseeb (1997),Govinda,Maine kabhi tumhare jism se nahin ... tumhari aatma se pyar kiya,I have never loved your body ... I have loved your soul
1997,Naseeb (1997),Kader Khan,Auron ke liye gunaah sahi ... hum piye toh shabaab banti hai ... arre sau ghamo ko nichodne ke baad ... ek katra sharaab banti hai,It may be a crime for others ... but when I drink I become young ... and after you squeeze 100 sorrows ... you get one drop of alcohol
1997,Naseeb (1997),Govinda,Mohabbat ko samajhna hai agar toh dariya mein kuda kar ... kyun ki kinare pe ukhudu bahetne se andaaz-e-toofan nahi hota,If you want to understand love then get in the ocean ... because you cannot get the sense of the storm by sitting on the shore
1997,Naseeb (1997),Govinda,"Kispe kare yakeen, kisse kare gilla ... mere naseeb ne mera yeh haal kar diya","Whom to believe, whom should I complain ... my destiny has created this condition of mine"
1997,Naseeb (1997),Govinda,Jitni tumhari saal bhar ki kamai hai ... utne rupaiy ke surf aur sabun se ... meri haveli ke farsh dhoye jaate hai,Whatever you earn in a year ... powder and soap of that much amount is used ... to wash the floors of my mansion
1997,Naseeb (1997),Kader Khan,Zindagi toh khuda ki rehmat hai ... joh nahi samjha uski zindagi pe laanat hai,"Life is a blessing of God ... those who don't understand that, their life is a shame"
1997,Naseeb (1997),Mamta Kulkarni,Zindagi ke faisle naseeb karta hai ... maa baap nahi,The decisions of life are made by destiny... not by parents
1997,Naseeb (1997),Mamta Kulkarni,"Aurat us waqt tak Sita Savitri hoti hai, jab tak uska pati Ram aur Satyavan hota hai ... jis din yeh maryada tootti hai na, aurat ek aaisa uljha hua sawaal ban jaati hai ... jisse koi mard suljha nahi sakta","A woman is like Sita and Savitri, until her husband is like Ram and Satyavan ... but the day this limit breaks, the woman turns into such a twisted question ... which no man has the answer to"
1997,Naseeb (1997),Mamta Kulkarni,Ladki toh hoti hi hai tyag ka zehar peene ke liye,Girls are meant to drink the poison of sacrifice
1997,Naseeb (1997),Rahul Roy,Kisi shaitan ki di hui saugaat se ... kisi insaan ki di hui khairaat zyada achchi hai,The charity received from a human is better than ... the gift received from a devil
1997,Naseeb (1997),Rahul Roy,Koi mard kisi kulta ke maang mein apne naam ka sindoor bardaasht nahi kar sakta,No man can tolerate the vermilion of his name in the hair parting of a promiscuous woman
1997,Naseeb (1997),Saeed Jaffrey,Yeh kaide kanoon ... hum gareebo ko insaaf dilane ke liye nahi ... balki ameero ki sahuliyat ke liye hai,These rules and laws ... are not there to bring justice to the poor like us ... instead they are there for the convenience of the rich
1997,Sanam,Kader Khan,Zindagi imtihan leti hai aur joh aadmi us imtihan mein first aata hai ... woh asli hero kehlata hai,Life always tests us and the person who comes first in that test ... that person is called as the real hero
1997,Sanam,Vivek Mushran,Jab tum paas hoti ho toh waqt kitni jaldi guzar jaata hai ... aur jab tum nahi hoti ho toh waqt kaate nahi kat'ta,When you're with me then time passes by very fast ... and when you're not there with me then it's hard to spend that time
1997,Sanam,Aanjjan Srivastav,Yeh prem rog bada khatarnak rog hota hai ... iska ilaaj toh sirf ussi ke paas hota hai jis insaan ko prem ho jaata hai ... varna yeh aisi jaan leva bimari hai ... ke iska ilaaj toh kisi vaid ke paas bhi nahi hota,The disease of love is a very dangerous thing ... only a person in love has the cure to that ... or else it's a killer disease ... and no doctor has the cure to this
1997,Virasat,Govind Namdeo,Thakur waqt ke hisaab se nahi chalte ... waqt Thakur ke hisaab se chalta hai,The lord doesn't move according to time ... time moves according to the lord
1997,Virasat,Milind Gunaji,Khoon ek baar karo ya sau baar ... phansi sirf ek baar hoti hai,No matter if you kill once or a hundred times ... you are hanged to death only once
1997,Qahar,Sunil Shetty,Shehar ka sabse bada gunda ... doosre gunday ko zamanat par le jaane aaya hai,The biggest goon of the city ... has come to bail the other goon
1997,Qahar,Sunny Deol,Gunday aur gundagardi yahi se janam lete hai ... jisse aap police station kehte hai,Goons and rowdyism are born right here ... what you call as police station
1997,Qahar,Sunny Deol,Jurm ko mitane ke liye ... mitna bhi padta hai,To eradicate crime ... sometimes you have to die
1997,Qahar,Sunil Shetty,"Mere gunaah mat gina ... sazaa de, chala goli","Don't count my crimes ... punish me, fire the bullet"
1997,Qahar,Sunny Deol,Samundar mein mutthi bhar shakkar dalne se ... uska namak kam nahin ho jaata,If you throw a handful of sugar in the ocean ... that doesn't reduce its salt
1997,Qahar,Sunny Deol,Agar kisi ne iski taraf aankh uthakar bhi dekha ... toh uske saare khandaan ki aankhen nikaal doonga,If anyone raises their eyes and looks at her ... then I'll remove the eyes of that persons entire family
1997,Qahar,Sunny Deol,Sipahi jab maidan-e-jung mein utarta hai ... toh apna hathyaar lana nahin bhulta,When a soldier steps into the war field ... he never forgets his weapon
1997,Qahar,Sunny Deol,Haath toh laga ... iske baad dhoondhta reh jayega ki tere jism ke saath koi haath bhi tha,If you touch me ... you will be lost imagining whether you had a hand on your body or not
1997,Qahar,Arman Kohli,Yeh khel teri zindagi ka aakhri khel hoga ... aakhri khel,This game will be the last game of your life ... last game
1997,Qahar,Rohini Hattangadi,Sabka sukh chain cheenkar kaise chain se lete hue ho,How comfortably are you lying down after snatching the peace of everyone
1997,Qahar,Sunny Deol,Main teri maut bankar aaya hoon ... aur teri maut atal hai,I have come as your death ... and your death is firm
1997,Qahar,Arman Kohli,"Aag ko jab tak na chedo, tab nak nahi bhadhakti ... chedo toh aaisa bhadhakti hai, ke jalakar raakh kar deti hai","Until you tease the fire, it does not grow ... and when you tease it, it grows in such a way that it burns you into ashes"
1997,Qahar,Arman Kohli,Saari duniya ka dard ... maa ki chatti se lagte hi mitt jaata hai,All the pains of the world ... go away when you hug a mother
1997,Qahar,Arman Kohli,Aap kanoon haath mein le nahi sakte ... aur apun ka haath duniya ka koi kanoon rok nahi sakta,You cannot take the law in your own hands ... and no law of this world can stop my hands
1997,Tarazu,Kader Khan,Buraiyon se ladte ladte joh log mar jaate hai ... unki maut ko maut nahi ... shahadat kaha jaata hai,People who die fighting against the evil ... their death is not called death ... it's called martyrdom
1997,Tarazu,Harish Patel,"Yeh adalat hai na, yeh rishton aur jazbaton se nahi chalti ... adalat chalti hai sabooton se, adalat chalti hai gawahon se","The court doesn't run on relations and emotions ... the court runs on proofs, the court runs on witnesses"
1997,Tarazu,Anil Dhawan,"Ek ladka, ek ladki, chota sa ghar pyara pyara ... yahi sandesh de raha hai desh hamara","One boy, one girl, and small lovable house ... our country is giving this message"
1997,Tarazu,Anil Dhawan,"Tu kanoon ko khareed sakta hai, adalaton ko khareed sakta hai ... lekin bhagwan ke us insaaf ko nahi khareed sakta","You can buy the law, you can buy the court ... but you can't buy the justice of god"
1997,Shapath,Mithun Chakraborty,Log peete hai isse hosh ko khone ke liye ... aur hum mein hosh bhi aata hai peene ke baad,People drink this (alcohol) to lose their senses ... and I get into my senses only after drinking
1997,Shapath,Gulshan Grover,Mauka deta hai parmeshwar ... maut deta hai Rajeshwar,The god gives a chance ... and Rajeshwar gives death
1997,Shapath,Shakti Kapoor,Langoor ki dumm par angoor ki bail ... ab main nikaalonga mujrimon ka tel,There is a grapevine on the tail of a monkey ... now I'll squeeze the oil out of criminals
1997,Shapath,Gulshan Grover,Zindagi deta hai parmeshwar ... magar taqdeer likhta hai Rajeshwar,God gives life ... but Rajeshwar writes the destiny
1997,Shapath,Jackie Shroff,Main chaal chalta nahi ... aur chalta hoon toh maat nahi khata,"I don't plan ploys ... but if I plan them, then I don't lose"
1997,Shapath,Mithun Chakraborty,Maarne waale sochte nahi aur sochne waale maarte nahi,People who kill don't think and people who think don't kill
1997,Shapath,Shakti Kapoor,Langoor ki dumm par angoor ki bail ... mohabbat mein ab tu saare sitam jhel,There is a grapevine on the tail of a monkey ... now bear all the pains in love
1997,Shapath,Gulshan Grover,Mausam banata hai parmeshwar ... usse badalta hai Rajeshwar,God creates the seasons ... and Rajeshwar changes them
1997,Shapath,Gulshan Grover,Dekh raha hai parmeshwar ... raj karega Rajeshwar,The god is looking ... and Rajeshwar will rule
1997,Shapath,Jackie Shroff,Is zindagi mein sirf do hi sach hai ... ek hai jeevan aur doosra mrityu,There are only two truths in life ... one is life and other is death
1997,Shapath,Shakti Kapoor,Langoor ki dumm par angoor ki bail ... patni ko dekh ke engine ho gaya mera fail,There is a grapevine on the tail of a monkey ... my engine failed after seeing my wife
1997,Shapath,Harish Kumar,"Baat ban gayi, life ban gayi ... bhabhi bhaiya ki wife ban gayi",Life is great and it's confirmed ... sister-in-law has become my brothers wife
1997,Shapath,Mithun Chakraborty,Elaan karta hai parmeshwar ... aaj marega Rajeshwar,The god is announcing that ... today Rajeshwar will die
1997,Shapath,Shakti Kapoor,Langoor ki dumm par angoor ki bail ... ab ho jayega dushmanon ka engine derail,There is a grapevine on the tail of a monkey ... now the engine of the enemies will derail
1997,Shapath,Shakti Kapoor,Langoor ki dumm par angoor ki bail ... khatam ho gaya is moti ka khel,There is a grapevine on the tail of a monkey ... the game of this fat lady is over
1997,Shapath,Gulshan Grover,Mandiron mein beheta rahega parmeshwar ... ishwaron ka ishwar banega Rajeshwar,The god will be sitting in the temples ... and Rajeshwar will become the god of gods
2017,A Gentleman,Sidharth Malhotra,Jab jab jiske lagne hai ... tab tab uske lagte hai ... ab usse ittefaq kaho ya phir what the f*ck,When someone is going to get screwed ... then that person will get screwed ... you can call that coincidence or what the f*ck
2017,A Gentleman,Sidharth Malhotra,Kayi baar kismat badalne ke liye khudko badalna padta hai,Many a times one has to change themselves to change their destiny
1997,Yes Boss,Shahrukh Khan,"Aadmi achcha hoon, iraada nek hai aur mausam first class hai ... chale?","I am a good man, intention is good and the weather is great ... can we go?"
1997,Yes Boss,Shahrukh Khan,Zindagi ki har baat sirf sach yah jhoot nahin hoti,Everything in life is not only either true or false
1997,Yes Boss,Shahrukh Khan,Meri shaadi mere sapne se ho chuki hai,I am married to my dream
1997,Yes Boss,Shahrukh Khan,Achche logon ke saath hamesha achcha hota hai,Good things always happen with good people
1997,Yes Boss,Johnny Lever,Kapde jitne chote hote hain ... kaamyabi utni hi badi hoti hai,The shorter the clothes ... the bigger the success
1997,Yes Boss,Shahrukh Khan,Joker agar baazi bana sakta hai ... toh joker baazi bhigaad bhi sakta hai,If a joker can win the game ... then the joker can also destroy the game
1997,Yes Boss,Shahrukh Khan,"Pehle shaurat, baad mein aurat","First money, and then honey"
1997,Yes Boss,Shahrukh Khan,"Dil ki gali bahut choti hoti hai ... us mein yah toh paisa reh sakta hai, yah pyar","The lane of the heart is very small ... in it either money can stay, or love"
1997,Yes Boss,Juhi Chawla,Do kamzoor insaan ek kamyaab zindagi nahin bana sakte,Two weak people cannot make a successful life
1997,Yes Boss,Aditya Pancholi,"Is duniya mein agar tum sach dheere se bologe toh koi nahin manega ... aur agar jhoot, jhoot chila chila kar bologe toh sab maan jaate hain","In this world if you say the truth softly then no one will believe it ... and lie, if you shout and say the lie then everyone believes it"
1997,Yes Boss,Shahrukh Khan,"Tu bhi chup chap kehta ja ... yes boss, yes boss, yes boss","You also keep saying quietly ... yes boss, yes boss, yes boss"
1997,Yeshwant,Nana Patekar,Ek machhar sala aadmi ko hijda bana deta hai!,One bloody mosquito can turn a man into a eunuch!
1997,Yeshwant,Nana Patekar,"Giro saalo giro, lekin giro toh us jharne ki tarah ... joh parbat ki oonchai se girke bhi apni sundarta khone nahi deta ... zameen ke teh se milke bhi apni astitva ko narth nahi hone deta","Fall you bloody people fall, but fall like a waterfall ... who even after falling from the heights of the mountain does not lose its beauty ... who even after meeting the ground does not let its exsistence go away"
1997,Yeshwant,Nana Patekar,Sau mein se assi beimaan ... phir bhi mera desh mahaan,"Out of 100, 80 are cheaters ... but still my country is great"
1997,Yeshwant,Nana Patekar,Ek khatmal poori raat ko apahij kar deta hai,One bed bug can handicap the whole night 
1997,Yeshwant,Nana Patekar,Yeh mera pasina nahi mera khoon hai joh pani bankar behta hai mere badan se,"This is not my sweat, this is my blood that flows from my body like water"
1997,Ziddi,Sunny Deol,Paanch baje ke baad Deva ki adaalat shuru hoti hai,"After 5 o'clock, Deva's court starts"
1997,Ziddi,Sunny Deol,Agar daud tujhe teri maut se door le ja sakti hai toh ... daud ... daud!,If running can take you away from your death then ... run ... run!
1997,Ziddi,Sunny Deol,Baki meetings meri meeting ke baad,Do rest of meetings after my meeting
1997,Ziddi,Sunny Deol,Agar dobara tune aaisi galati ki ... toh tera woh hashar karoonga ... ki tujhe apne haathon se apni zindagi phisalti hui nazar aayegi,If you do this mistake again ... then I will treat you in such a way ... that you will see your life sliding out of your own hands
1997,Ziddi,Sunny Deol,Maut aur waqt ka koi taal-mel nahi hota,Death and time do not have any coordination between them
1997,Ziddi,Raj Babbar,Alga woh daraar hai joh kisi bhi imarat ki buniyaad mein samahkar ... us imarat ko barbaad kar deti hai,Incoherence is that gap which can settle in the foundation of any building ... and it can destroy that building
2017,Baadshaho,Ajay Devgan,Char din ki zindagi hai aur aaj chautha din hai ... yeh sochkar itne saal nikaal diye,Life is short and today is the last day of life ... I've spent so many years thinking just that
2017,Baadshaho,Emraan Hashmi,"Yeh joh samay hai na, yeh sabki leta hai ... samay samay par, sahi samay par ... sahi tarah se leta hai",Time screws everyone ... all the time and at the right time ... it screws perfectly
2017,Baadshaho,Emraan Hashmi,Sharam aur main toh ek sentence mein nahi aate madam,"Madam, shyness and I don't come in a single sentence"
2017,Baadshaho,Ajay Devgan,"Waqt tha emergency ka ... mahol tha dehshat ka ... mauka tha kismat badalne ka ... woh army thi, par hum bhi toh harami the","It was a time of emergency ... there was fright in the atmosphere ... it was an opportunity to change the destiny ... there was an army, but even I was a evil"
2017,Baadshaho,Ajay Devgan,Woh ishq hi kya joh salamat chhod de,"Love that keeps you safe, isn't real love"
2017,Baadshaho,Ajay Devgan,Zubaan aur jaan sirf ek hi baar di jaa sake hai ... aaj se dono taare,A promise and a life can only be given once ... from today both of these are yours
2017,Baadshaho,Vidyut Jamwal,Aankhon mein tabhi chamak aati hai jab unmein khatra hota hai,There's a shine in the eyes only when they have danger in them
2017,Baadshaho,Ajay Devgan,Duniya mein do kisam ke log hote hai ... ek jinke saath hum peete hai ... doosre jinki wajah se hum peete hai,There are two types of people in the world ... one with whom we drink ... and second are those for whom we drink
2017,Baadshaho,Ileana D'Cruz,Jeevan mein do tarah ke log aapke saath hamesha hone chahiye ... ek Krishna jaise joh aapke liye na bhi lade tab bhi aapki jeet pakki kar de ... aur doosre Karna jaise joh aapke liye tab bhi lade jab aapki haar saamne dikh rahi ho,"In life two types of people should always be there with you ... one like Lord Krishna, who don't even fight for you but still they ensure that you win ... and second like Karna, who will fight for you even when you can see your defeat in front of you"
2017,Baadshaho,Emraan Hashmi,"Rajai, lugai aur ladai hamesha barabar ki honi chahiye","A blanket, a wife and a fight must always be appropriate to your own size"
2017,Baadshaho,Ajay Devgan,Main kahani badal doonga,I'll change the story
2017,Baadshaho,Ajay Devgan,"Aankhen bhi ajeeb raazdar hove ... dekhe kuch aur, dikhaye kuch aur ... bayaan kuch aur kare, jaati kuch aur",The eyes are strange type of secret keepers ... they see something and they show something else ... they say something and they express something else
2017,Baadshaho,Ajay Devgan,Maut jab sar pe hoti hai ... zindagi ki keemat tab samajh mein aati hai,When death hangs around your head ... only then you understand the value of life
2017,Baadshaho,Ajay Devgan,Aapke sone ka karat maare character ko kharaab nahi kar sakta,The karat of your gold can't spoil my character
2017,Baadshaho,Esha Gupta,Karne se pehle kya sochna ... pehle karo phir daro,Why think before doing it ... first do it and then worry about it
2017,Baadshaho,Ajay Devgan,Zindagi badi choti hai ... bade bade faisle lene ke liye zyada time nahi lena chahiye,Life is very short ... you should not take a long time for making big decisions
2017,Baadshaho,Ileana D'Cruz,History is always written about men ... but not always made by them,History is always written about men ... but not always made by them
2017,Baadshaho,Ajay Devgan,Jab baat jugaad ki ho toh jaan ki keemat kam ho jaati hai,When it's about hacking something then the value of life decreases
2017,Bareilly Ki Barfi,Ayushmann Khurrana,"Kisi ko tum gusail lagti ho, kisi ko bighdail lagti ho ... tumhari amma mazak mazak mein kehti hai ki raat bhar ghoomti rehti ho toh chudail lagti ho ... kisi ko tumhari baatein atpatti lagti hai, kisi ko behad chatpatti lagti hai ... tumhari kasam humein tumhari har ek baat bahut hi achchi lagti hai","Someone thinks you're great and someone thinks you're naughty ... your mother jokingly says that you look like a witch when you roam around in the night ... someone thinks your talks are strange and someone thinks they're pretty interesting ... I swear on you, I love every bit that you do"
2017,Bareilly Ki Barfi,Ayushmann Khurrana,Aasaan nahi hai tumse pyar karna ... magar tumse pyar na karna usse bhi zyada mushkil hai,It's not easy to love you ... but it's more difficult to not love you
2017,Bareilly Ki Barfi,Rajkummar Rao,Agar shakal dekh ke ladkiyan shaadi karti na ... toh Hindustan mein aadhe ladke kanware hote,If girls would marry just by looking at the face ... then half the guys in India would be bachelors
2017,Bareilly Ki Barfi,Rajkummar Rao,Aaj ke baad galat time pe phone kiya na ... toh aisi laat maarenge koole pe dimple nikaal denge tumhare,"From today if you call me at the wrong time ... then I'll kick your ass in such a way that, a pimple will pop up there"
2017,Bareilly Ki Barfi,Rajkummar Rao,Laxmi ji ki kripa se paisa toh itna hai ki Dhanteras pe aap hi ki dukaan khareed ke aap hi ko gift karde,"By the grace of Goddess Laxmi I have so much money that, I can buy your shop on the festival of Dhanteras and gift it to you itself"
2017,Bhoomi,Sanjay Dutt,Apna aakhri shradh mana le ... kyun ki iske baad tere haath aur hathyar bhi kaam nahi aayenge,Celebrate your last death ceremony ... because after this even your hands and weapons won't be useful for you
2017,Bhoomi,Sanjay Dutt,"Ek second lagega tujhe maarne mein ... lekin nahi ... tujhe har din maarunga, har second maarunga","It'll take me one second to kill you ... but no ... I'll kill you every day, I'll kill you every second"
2017,Bhoomi,Sharad Kelkar,Hide and seek toh bache khele hai ... yo hide and cheek hai,Kids play the game of hide and seek ... but this is hide and scream
2017,Bhoomi,Sharad Kelkar,Jab tak haarne ka darr na ho na ... tab tak jeetne mein maza nahi aata,Until you don't have the fear of losing ... till then there's no fun in winning
2017,Bhoomi,Aditi Rao Hydari,"Ek ladki ka maika hota hai, sasural hota hai ... par ghar kahan hota hai?","A girl has her parents house, her in-laws house ... but where is her home?"
2017,Bhoomi,Aditi Rao Hydari,Hone wale miyan ke tareefon ke pul baand rahe hai ... baraat kam lagta hai khule saand khade hai ...  aise bhi kya heere jadhe hai ... darshan chote bas naam badhe hai,Everyone is praising the to be groom ... they seem more like wild bulls rather than the wedding procession ... does he have diamonds on him ... only his name is big but his deeds are small
2017,Coffee With D,Zakir Hussain,Yeh dekhne mein shareef hai lekin sharafat bhi pani bharti hai inke aage,"He looks innocent from his face, but in reality there's nothing honest about him"
2017,Coffee With D,Zakir Hussain,Mujhse related sari cheezein world mein ban hai ... toh mere glasses bhi Ray-Ban hi honge na,Everything related to me is banned in the world ... hence my glasses should also be Ray-Ban
2017,Coffee With D,Zakir Hussain,"Hollywood ke alava main porn dekhna pasand karta hoon ... kahani is mein bhi nahi hoti, kahani us mein bhi nahi hoti ... action zaroor hota hai","Other than Hollywood, I like to watch watch porn ... as there's no story in either of them ... but yes, there's definitely action"
2017,Coffee With D,Zakir Hussain,"Desh naam se nahi, logon se banta hai","A country develops due to its people, and not due to its name"
2017,Fukrey Returns,Ali Fazal,If everything is coming your way then you're in the wrong lane,If everything is coming your way then you're in the wrong lane
2017,Fukrey Returns,Pulkit Samrat,Umeed pe nahi ... jugaad pe duniya kayam hai,Not on hope ... the world survives on hacking
2017,Fukrey Returns,Richa Chadda,"Yakeen ke chakke pe toh duniya ghoomti hai ... maano toh mitti mein khazana hai, na maano toh khazane mein mitti","The world spins on the wheel of belief ... if you believe then there's treasure in the dust, if you don't then there's dust in the treasure"
2017,Guest Iin London,Tanvi Azmi,Saath na rehne ke bahut saare bahane ban jaate hai ... par saath rehne ka bas ek bahana bahut hai ... pata hai kyun ... pyar,You can find many excuses for not living together ... but you need only one excuse for living together ... and you know why ... because of love
2017,Guest Iin London,Paresh Rawal,Pant pe gira pani aur phisli huyi jawani bada badnaam karti hai,Water on your pants and out of control youth can dishonour you
2017,Guest Iin London,Kartik Aaryan,India mein guest aur pest aise hi kabhi bhi kahin pe bhi aa jaate hai,In India guest and pest can come anytime and anywhere
2017,Guest Iin London,Sanjay Mishra,"India Pakistan mein biwi shohar ke bare mein agar itna jaante honge, toh phir woh biwi shohar nahi honge ... Karan aur Johar honge","In India and Pakistan if a husband and wife know a lot about each other, then they must not be husband and wife ... they must be Karan and Johar"
2017,Guest Iin London,Paresh Rawal,Rishton ki mehak bhi le udhe paad ... ab baap pehda ho rahe hai beton ke baad,A fart can carry away the fragrance of relationships ... nowadays fathers are being born after their sons
2017,Guest Iin London,Paresh Rawal,Bal se kiya hua kaam balaatkar hota hai,Anything done with force is like a rape
2017,Guest Iin London,Paresh Rawal,Tere liye kaam karte karte logon ka paseena nikla ... aur tu toh bahut bada kameena nikla ... tune toh bola tha tu izzat dega ... lekin kya pata tha tu saala hamari bhi le lega,People sweated a lot while they worked for you ... but you turned out to be a big rascal ... you had said that you'll give respect ... but who knew that you'll get us in trouble as well
2017,Guest Iin London,Paresh Rawal,"Tu shaitaan ki aulaad hai, gadhe da bateeja hai ... tere maa baap ki galti ka nateeja hai","You're a child of the devil, a nephew of the donkey ... you're the result of a mistake that your parents made"
2017,Guest Iin London,Paresh Rawal,Buzurgon ki paad toh bachon ke liye aashirwad samaan hoti hai,The fart of elders is like blessings for the young ones
2017,Guest Iin London,Tanvi Azmi,Bache toh mitti ke khilone hote hai ... kaske pakdo na toh toot jaate hai,Children are like toys made from clay ... if you hold them tight then they'll break
2017,Guest Iin London,Paresh Rawal,"Arre sharam hai toh yaad kar apne vaade ... kutte, kamine, sovar ke pyaade","If you have any shame then remember your promises ... you're a dog, rascal and a pig"
